/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:21.134 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:22.374 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using log4j2 logging.
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:22.439 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:22.826 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.5.6.Final
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:23.286 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:23.591 [main] INFO  com.mchange.v2.c3p0.impl.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> z8kfltb21jj5pfc1nzc9fx|30b5f974, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.cj.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> z8kfltb21jj5pfc1nzc9fx|30b5f974, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/c2202l_spring_crm?useSSL=false, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 15, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:23.921 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:25.037 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:26.650 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5500 ms
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:34.838 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:34.839 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:34.839 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: null
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.110 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.111 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.111 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.111 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 2
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.511 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.511 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=3, firstName=few, lastName=few, email=few@few], Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.511 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.getCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.511 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: [Customer [id=3, firstName=few, lastName=few, email=few@few], Customer [id=1, firstName=few11, lastName=few11, email=few@few.ynht], Customer [id=6, firstName=few, lastName=fewfew, email=fewfew@fewfew], Customer [id=5, firstName=fre, lastName=fre, email=fre@gvtergt], Customer [id=4, firstName=bbgfr, lastName=n htgmuy, email=bnyf@fre]]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.555 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerController.listCustomers(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:35.556 [http-nio-8080-exec-3] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: list-customers
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.486 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerController.showFormForUpdate(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.486 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 3
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.486 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: {}
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.490 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerService.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.490 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 3
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.492 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @Before advice: calling method: CustomerDAO.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.492 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> argument: 3
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.517 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerDAO.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.518 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: Customer [id=3, firstName=few, lastName=few, email=few@few]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.518 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> in @AfterReturning advice: calling method: CustomerService.getCustomer(..)
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.518 [http-nio-8080-exec-2] INFO  com.ray.crm.aspect.LoggingAspect - ===> Result: Customer [id=3, firstName=few, lastName=few, email=few@few]
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:13:41.524 [http-nio-80/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:19.568 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcher'
/Users/ray/Dropbox/Aptech/C2202L/JavaEE/crm/2024-04-10 20:53:21.183 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using log4j2 logging.
